"Studenten_nummer";"Unasat_mail";"Telefoon_nummer";"Adres"
1;"YoshkavanderKlift@armyspy.com";655597201;"Utenbroekestraat 148"
2;"MohammedObdam@superrito.com";637177116;"Johannes Brinkostraat 115"
3;"ErdalSips@gustr.com";633455363;"Mauritspark 160"
4;"AdriedeWeert@jourrapide.com";647022249;"Paul Krugerstraat 34"
5;"TahiravanderWal@jourrapide.com";694175952;"Zeepkruidlaan 186"
6;"EthanRis@einrot.com";696020215;"Veerstoep 98"
7;"SymonBuitenhuis@fleckens.hu";639365320;"Zwaluwenweg 20"
8;"HiekeAnker@fleckens.hu";610396829;"Voorhof 83"
9;"GeorgioXhofleer@superrito.com";666870586;"Thorbeckelaan 112"
10;"NikolaasvanOmmeren@armyspy.com";658159354;"Klompestraat 133"
11;"FeyzaHeida@cuvox.de";662033981;"Kuiterswegeling 138"
12;"LysandeVeth@fleckens.hu";619738609;"Korenbloemstraat 66"
13;"JethroGlas@armyspy.com";692327062;"Joan Beukerweg 181"
14;"RajeevHogeweg@teleworm.us";691237559;"Weverskwartier 54"
15;"DyamiHogenberg@superrito.com";675143522;"Strevelsweg 45"
16;"NevilleKosten@rhyta.com";672812128;"Setheweg 147"
17;"MilicaBaart@fleckens.hu";660728906;"Sirrahstraat 3"
18;"MesutDemandt@jourrapide.com";664176322;"Paardenbroek 46"
19;"SiradeBeen@jourrapide.com";688459096;"Ravelstraat 50"
20;"YosefBosmans@cuvox.de";653161820;"Dotterbloem 182"
21;"MelindaAlferink@einrot.com";695004166;"Weegbree 146"
22;"JadendeGoede@superrito.com";638268393;"Kemenadehoek 53"
23;"JoffreyMekking@teleworm.us";635571357;"Antilopespoor 105"
24;"SoumayaMeeuwesen@cuvox.de";651385500;"Burgemeester Velthuijsenlaan 24"
25;"LoekeHelmus@superrito.com";610857176;"Lavoisierstraat 137"
26;"CedricvanLopik@dayrep.com";676458039;"De Vloot 146"
27;"ArendinaBallast@dayrep.com";645548242;"Meteoriet 14"
28;"WilbertValk@superrito.com";631813521;"Hopakker 39"
29;"JeromWielenga@fleckens.hu";656679700;"Van Coothstraat 155"
30;"YvonneHeutinck@fleckens.hu";633015519;"Elsenburglaan 88"
31;"GerardusWijnja@einrot.com";650072688;"Sint Barbaraweg 164"
32;"AbdouHolzken@superrito.com";645168110;"Noorderhavenkade 115"
33;"FrederiqueVaandrager@gustr.com";652824964;"Verbindingsweg 192"
34;"CorryGillissen@rhyta.com";644098538;"Kortenaerplein 22"
35;"RomekBotermans@fleckens.hu";620725446;"Bachstraat 140"
36;"ShaiVlaar@rhyta.com";647513984;"Rodeweg 182"
37;"ZahiraBanga@gustr.com";651717111;"Duizendblad 172"
38;"SebahatHeins@superrito.com";662529405;"Ekingenstraat 32"
39;"MingvandeWeerdhof@einrot.com";623116740;"Veenluydenstraat 132"
40;"MattGoosens@superrito.com";682885207;"Paul Gabrielstraat 92"
41;"OktayvanGorkom@jourrapide.com";616752556;"Sint Janstraat 152"
42;"HaydarHannema@armyspy.com";616918396;"Laan van de Eekharst 176"
43;"MateuszAnnink@armyspy.com";694937072;"Haarlemmerstraat 198"
44;"WladimirPapen@rhyta.com";698813673;"Hofsingel 98"
45;"LamarTwisk@rhyta.com";624388233;"IJsselstraat 72"
46;"NicolienVeldmeijer@teleworm.us";695349976;"Levendaal 31"
47;"AyyoubOosthoek@gustr.com";632372729;"Oude Larenseweg 121"
48;"GuillianoGouda@jourrapide.com";684875936;"Oude Singel 200"
49;"CasperPeulen@rhyta.com";618289444;"Ansekerke 23"
50;"JiskaBark@cuvox.de";674811748;"Deventerweg 134"
